State,Who Can Return an Absentee or Mail Ballot on Behalf of a Voter,Other Restrictions on Collecting Absentee or Mail Ballots
South Dakota,An authorized messenger can transmit a ballot.,"If a person is an authorized messenger for more than one voter, he must notify the person in charge of the election of all voters for whom he is a messenger."
Tennessee,NA,NA
Texas,A marked ballot voted under this chapter must be returned to the early voting clerk in the official carrier envelope. The carrier envelope may be delivered in another envelope and must be transported and delivered only by mail; common or contract carrier; or in-person delivery by the voter who voted the ballot. A person possessing an envelope of another voter does not commit an offense if that person is related to the voter within the second degree by affinity or the third degree by consanguinity; physically living in the same dwelling as the voter; a person who possesses a ballot or carrier envelope solely for the purpose of lawfully assisting a voter who was eligible for assistance; a U.S. postal service employee; or a common or contract carrier.,Carrier envelopes may not be collected and stored at another location for subsequent delivery to the early voting clerk. A person commits an offense if the person knowingly possesses an official ballot or official carrier envelope with intent to defraud the voter or the election authority.
Utah,NA,NA
Vermont,NA,NA
Virginia,A voter who becomes incapacitated just before Election Day may vote by emergency ballot and designate a representative to deliver the ballot and return the marked ballot.,NA
Washington,NA,NA
West Virginia,"Not specified, though statute does address hand-delivering ballots (see next column).",No person may hand-deliver more than two absentee ballots in any election and any person hand delivering an absentee ballot is required to certify that he or she has not examined or altered the ballot. Any person who makes a false certification violates the provisions of article nine of this chapter and is subject to those provisions.
Wisconsin,NA,NA
Wyoming,NA,NA
