state,county,address,phone
PA,Delaware County,"201 W. Front St.
Government Center Bldg.
Media, PA 19063
",(610) 891-4673
PA,Elk County,"300 Center St., P.O. Box 448
Ridgway, PA 15853-0448
",(814) 776-5337
PA,Erie County,"140 W. 6th St., Rm. 112
Erie, PA 16501
",(814) 451-6276
PA,Fayette County,"22 E. Main St.
Uniontown, PA 15401-3412
",(724) 430-1289
PA,Forest County,"526 Elm St. - Unit #3
Tionesta, PA 16353
",(814) 755-3537
PA,Franklin County,"340 N. 2nd St.
Chambersburg, PA 17201
",(717) 261-3810
PA,Fulton County,"116 W. Market St., Ste 205
McConnellsburg, PA 17233
",(717) 485-6864
PA,Greene County,"93 E. High St.
Waynesburg, PA 15370


",(724) 852-5304
PA,Huntingdon County,"223 Penn St. - Courthouse
Huntingdon, PA 16652
",(814) 643-3091
PA,Indiana County,"825 Philadelphia St.
Indiana, PA 15701-3934
",(724) 465-3805
PA,Jefferson County,"155 Main St.
Brookville, PA 15825
",(814) 849-1603
PA,Juniata County,"Bridge St.
P.O. Box 68
Mifflintown, PA 17059
",(717) 436-7706
PA,Lackawanna County,"123 Wyoming Ave., 2nd Floor
Scranton, PA 18503
",(570) 963-6737
PA,Lancaster County,"150 N. Queen St., Ste 117
Lancaster, PA 17603


",(717) 299-8293
PA,Lawrence County,"430 Court St.
New Castle, PA 16101-3593
",(724) 656-2161
PA,Lebanon County,"400 South 8th Street
Lebanon, PA 17042
",(717) 228-4428
PA,Lehigh County,"17 S. 7th St.
Allentown, PA 18101
",(610) 782-3194
PA,Luzerne County,"20 N. Pennsylvania Ave.
Ste. 207
Wilkes-Barre, PA 18701-3505
",(570) 825-1715
PA,Lycoming County,"48 W. Third St.
Williamsport, PA 17701
",(570) 327-2267
PA,McKean County,"500 W. Main St.
Smethport, PA 16749
",(814) 887-3203
PA,Mercer County,"5 Courthouse
Mercer, PA 16137
",(724) 662-7542
PA,Mifflin County,"20 N. Wayne St.
Lewistown, PA 17044
",(717) 248-6571
PA,Monroe County,"One Quaker Plaza, Rm. 105
Stroudsburg, PA 18360
",(570) 517-3165
PA,Montgomery County,"P.O. Box 311
Norristown, PA 19404-0311
",(610) 278-3275
PA,Montour County,"253 Mill Street
Danville, PA 17821
",(570) 271-3000
PA,Northampton County,"669 Washington St., Room 1211
Easton, PA 18042-4101
",(610) 829-6260
PA,Northumberland County,"320 North Second Street,Suite 1
Sunbury, PA 17801
",(570) 988-4209
PA,Perry County,"P.O. Box 37
New Bloomfield, PA 17068
",(717) 582-2131
PA,Philadelphia County,"Rm. 142
City Hall
Philadelphia, PA 19107


",(215) 686-3469
PA,Pike County,"506 Broad St.
Pike County Administration Building
Milford, PA 18337-1535
",(570) 296-3426
PA,Potter County,"1 N. Main St.
Coudersport, PA 16915
",(814) 274-8467
PA,Schuylkill County,"420 N. Centre St.
Pottsville, PA 17901


",(570) 628-1467
PA,Snyder County,"9 West Market St., P.O. Box 217
Middleburg, PA 17842
",(570) 837-4286
PA,Somerset County,"300 N. Center Ave., Ste. 340
Somerset, PA 15501


",(814) 445-1549
PA,Sullivan County,"P.O. Box 157
Main & Muncy Streets
Laporte, PA 18626-0157
",(570) 946-5201
PA,Susquehanna County,"P.O. Box 218
31 Lake Ave.
Montrose, PA 18801
",(570) 278-4600 x 4090
PA,Tioga County,"118 Main St.
Wellsboro, PA 16901


",(570) 723-8230
PA,Union County,"155 North 15th St.
Lewisburg, PA 17837-8822
",(570) 524-8603
PA,Venango County,"1174 Elk St., P.O. Box 831
Franklin, PA 16323
",(814) 432-9508
PA,Warren County,"204 4th Ave.
Warren, PA 16365
",(814) 728-3406
PA,Washington County,"100 W. Beau St., Suite 206
Washington, PA 15301
",(724) 228-6750
PA,Wayne County,"925 Court St.
Honesdale, PA 18431
",(570) 253-5978
PA,Westmoreland County,"2 N. Main St.
Greensburg, PA 15601
",(724) 830-3150
PA,Wyoming County,"1 Courthouse Square
Tunkhannock, PA 18657
",(570) 996-2226
PA,York County,"28 E. Market St.
York, PA 17401
",(717) 771-9604
